"test_id","public_no","title","abstract_excerpt","claims_excerpt","gold_labels","gold_protein_type","gold_protein_function","gold_separation_technology","source_dataset","example_authority"
"T012","CN117941742B","Nutritional composition for promoting protein absorption and use thereof","The invention discloses a nutritional composition for promoting protein absorption. It contains alpha-lactalbumin, beta-casein, and a magnesium salt at respective mass ratios of (0.9–9.2):(1.1–9.0):(0.02–0.08); alpha-lactalbumin is 9–50% and beta-casein 10.5–60% of total protein. The composition promotes protein absorption, increases total free-amino-acid absorption, and promotes expression of amino-acid transporter SLC6A14 and oligopeptide transporter PEPT1.","1. Use of a nutritional composition, or food containing it, to prepare a product that promotes protein absorption, wherein the composition contains alpha-lactalbumin, beta-casein, and magnesium at a mass ratio of (2.2–6.5):(2.2–6.4):(0.02–0.08), alpha-lactalbumin is 21–44% and beta-casein 26–56% of total protein, increased total free-amino-acid absorption is included, and the magnesium salt is magnesium chloride. _x000D_ 2. Use of such a composition to prepare a product promoting expression of amino-acid transporter SLC6A14, wherein [source excerpt ends here].","Protein type > Whey protein > Alpha-lactalbumin | Protein type > Casein > Beta-casein | Protein function > Promotes digestion","Protein type > Whey protein > Alpha-lactalbumin | Protein type > Casein > Beta-casein","Protein function > Promotes digestion","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T013","CN118320065A","Composition for mitigating muscle loss and promoting myogenic differentiation, and use thereof","The invention concerns a composition for mitigating muscle loss and promoting myogenic differentiation. A selected concentration of lactoferrin combined with creatine is used for nutritional intervention in an aging mouse model induced by long-term D-galactose injection. Compared with model, lactoferrin-only, and creatine-only groups, treated mice reportedly showed improved muscle strength, mass, function, and lean content. The source proposes the combination for suppressing the onset and progression of skeletal-muscle aging and for preventing or improving sarcopenia.","1. A composition for mitigating muscle loss and promoting myogenic differentiation, comprising lactoferrin and creatine at a weight ratio of 4:1 to 6:1, with creatine administered at 83 mg/kg/day. _x000D_ 2. Use of the composition to improve muscle mass, strength, and function. _x000D_ 4. A food, health food, or medicine containing the composition for those uses. _x000D_ 5. A food, health food, or medicine containing the composition for promoting myogenic differentiation.","Protein type > Whey protein > Lactoferrin | Protein function > Bone health | Protein function > Muscle development","Protein type > Whey protein > Lactoferrin","Protein function > Bone health | Protein function > Muscle development","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T014","CN118320064A","Use of lactoferrin to mitigate muscle loss and promote myogenic differentiation","The invention concerns use of lactoferrin to mitigate muscle loss and promote myogenic differentiation. A selected concentration of lactoferrin is used for nutritional intervention in an aging mouse model induced by long-term D-galactose injection. Treated mice reportedly showed improved muscle strength, mass, function, and lean content compared with the model group. The source states that lactoferrin nutritional intervention may help prevent and improve sarcopenia.","1. Use of lactoferrin to mitigate muscle loss and promote myogenic differentiation, specifically to improve muscle mass, strength, and function. _x000D_ 2. The use of claim 1, wherein lactoferrin is administered at 500 mg/kg/day.","Protein type > Whey protein > Lactoferrin | Protein function > Bone health | Protein function > Muscle development","Protein type > Whey protein > Lactoferrin","Protein function > Bone health | Protein function > Muscle development","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T015","CN118320066A","Composition for mitigating muscle loss and promoting myogenic differentiation, and use thereof","The invention concerns a composition of lactoferrin and coenzyme Q for mitigating muscle loss and promoting myogenic differentiation. A selected concentration is used for nutritional intervention in an aging mouse model induced by long-term D-galactose injection. Treated mice reportedly showed improved muscle strength, mass, function, and lean content compared with the model group. The source states that the lactoferrin intervention may help prevent and improve sarcopenia.","1. A composition for mitigating muscle loss and promoting myogenic differentiation, comprising lactoferrin and coenzyme Q at a mass ratio of 50:1. _x000D_ 2. Use of the composition of claim 1 to improve muscle mass, strength, and function.","Protein type > Whey protein > Lactoferrin | Protein function > Bone health | Protein function > Muscle development","Protein type > Whey protein > Lactoferrin","Protein function > Bone health | Protein function > Muscle development","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T016","CN118252256A","Composition, use thereof, and food","The invention provides a composition of milk-fat-globule-membrane-rich whey-protein powder and casein-glycomacropeptide-rich whey-protein powder at a mass ratio of (1–10):1. The source reports a synergistic effect on intestinal development, with material increases in villus height and the villus-to-crypt ratio.","1. A composition consisting of milk-fat-globule-membrane-rich whey-protein powder and casein-glycomacropeptide-rich whey-protein powder at a mass ratio of (1–10):1. _x000D_ 6. Use of the composition of any of claims 1–5 to prepare a product promoting intestinal development. _x000D_ 8. A food comprising the composition of any of claims 1–5.","Protein type > Casein > Casein glycomacropeptide | Protein type > Other milk proteins > Milk-fat-globule membrane protein | Protein function > Supports gut health","Protein type > Casein > Casein glycomacropeptide | Protein type > Other milk proteins > Milk-fat-globule membrane protein","Protein function > Supports gut health","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T017","CN117796531B","Composite protein composition for increasing muscle circumference and preparation method thereof","The invention provides a composite protein composition containing whey-protein concentrate powder, whey-protein isolate powder, hydrolyzed whey-protein powder, bovine-colostrum powder, alpha-lactalbumin, zinc gluconate, and magnesium carbonate. The source reports a simple formulation, high nutritional value, easier absorption, enhanced muscle-tissue growth, and improved muscle-fiber recovery.","1. A composition containing, by weight, 60–90 parts whey-protein concentrate powder, 2–15 parts whey-protein isolate powder, 0.2–5 parts hydrolyzed whey-protein powder, 0.2–2 parts bovine-colostrum powder, 0.2–2 parts alpha-lactalbumin, 0.04–0.2 parts zinc gluconate, and 0.8–3 parts magnesium carbonate. _x000D_ 5. A method for preparing the composition of any of claims 1–4 by mixing those ingredients. _x000D_ 6. A composition comprising the same listed ingredients in specified parts by weight [source excerpt ends here].","Protein type > Whey protein > Alpha-lactalbumin | Protein type > Other milk proteins > Hydrolyzed protein | Protein function > Muscle development","Protein type > Whey protein > Alpha-lactalbumin | Protein type > Other milk proteins > Hydrolyzed protein","Protein function > Muscle development","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T018","CN117838834B","Composition for delaying cognitive decline and use thereof","The invention provides a composition containing milk-fat-globule-membrane glycoprotein, milk phospholipids, milk-derived peptides, vitamin B12, and theanine. The source reports that it delays cognitive decline by improving hippocampal morphology, synaptic-protein expression, the blood–brain barrier, and gut microbiota and by inhibiting hippocampal neuroinflammation, thereby delaying neurodegenerative disorders such as Alzheimer disease.","1. A composition for assisting memory improvement, comprising milk-fat-globule-membrane glycoprotein, milk phospholipids, milk-derived peptides, vitamin B12, and theanine at a mass ratio of 150–250:80–120:150–250:18–22:4–6. _x000D_ 4. Use of the composition of any of claims 1–3 to prepare a health product or medicine that assists memory improvement and/or regulates gut microbiota. _x000D_ 5. A further use of the composition for one or more specified purposes [source excerpt ends here].","Protein type > Other milk proteins > Milk-fat-globule membrane protein | Protein type > Other milk proteins > Milk-derived peptide | Protein function > Supports gut health | Protein function > Protection against neurodegeneration","Protein type > Other milk proteins > Milk-fat-globule membrane protein | Protein type > Other milk proteins > Milk-derived peptide","Protein function > Supports gut health | Protein function > Protection against neurodegeneration","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T019","CN115500398B","Beta-casein-rich formulated dairy product and preparation method thereof","The invention discloses a beta-casein-rich formulated dairy product prepared from selected quantities of raw milk solids, demineralized whey powder, beta-casein, lactose, crystalline fructose, fructooligosaccharides, cream fat, blended vegetable oil, whey-protein concentrate, vitamins, minerals, salts, emulsifier, and water totaling 1,000 parts. Because beta-casein forms a softer gastric curd, the source states that it is easier to digest and may benefit children, pregnant people, older adults, and others with sensitive digestion.","1. A beta-casein-rich infant-formula powder containing specified parts by weight of demineralized whey powder, beta-casein powder, lactose, cream fat, blended vegetable oil, whey-protein concentrate, vitamins, minerals, calcium, phosphate, sodium and potassium salts, and water, totaling 1,000 parts; wherein beta-casein is prepared by: (1) microfiltering raw milk through a ceramic membrane to obtain retentate I, using a membrane pore size of 50–100 nm and specified processing conditions [source excerpt ends here].","Protein type > Casein > Beta-casein | Protein function > Supports gut health | Protein function > Promotes digestion","Protein type > Casein > Beta-casein","Protein function > Supports gut health | Protein function > Promotes digestion","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T020","CN117204502B","Method for preparing a beta-casein phosphopeptide product and use thereof","The invention prepares a beta-casein phosphopeptide product by dissolving and enzymatically hydrolyzing beta-casein, performing non-specific separation, and enriching the separated liquid. The source reports food-safety compliance, low cost, convenient elution, high efficiency, and industrial scalability. Its beta-CPP content is described as closer to human milk, with favorable infant digestion and absorption and promotion of calcium, iron, zinc, selenium, and manganese absorption. Proposed uses include infant formula, complementary food, formulated milk and milk powder, cheese, beverages, and cereals.","1. A method comprising: S1, dissolving beta-casein and performing a first hydrolysis with pepsin, then a second hydrolysis with amylase, lipase, trypsin, chymotrypsin, and elastase, followed by heat inactivation; the first hydrolysis is at 35–39 °C for 1–2 h and the second at 40–55 °C, pH 7.0–8.0, for 1–2 h; S2, non-specifically separating the hydrolysate; and S3, enriching the separated liquid with surface-modified mesoporous amorphous calcium-phosphate microspheres to obtain beta-casein phosphopeptide [source excerpt ends here].","Protein type > Other milk proteins > Milk-derived peptide | Separation method > Targeted enzymatic hydrolysis | Separation method > Chromatography | Protein function > Promotes digestion","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Promotes digestion","Separation method > Targeted enzymatic hydrolysis | Separation method > Chromatography","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T021","CN117837638A","Nutritional composition containing bovine colostrum and lactoferrin, food, and use","The invention concerns a nutritional composition consisting of bovine colostrum and 0.002–5.0 parts lactoferrin per part by mass of colostrum, food containing the composition, and non-therapeutic use of colostrum and/or lactoferrin to improve immunity and gut microbiota in offspring of older mothers through maternal transfer while also improving maternal immunity.","1. A nutritional composition consisting of bovine colostrum and 0.002–5.0 parts by mass lactoferrin per part of colostrum. _x000D_ 5. A food comprising the composition of any of claims 1–4. _x000D_ 9. Non-therapeutic use of bovine colostrum and/or lactoferrin through maternal transfer to improve immunity and gut microbiota in offspring fed by older mothers and simultaneously improve maternal immunity.","Protein type > Whey protein > Lactoferrin | Protein function > Immune modulation | Protein function > Supports gut health","Protein type > Whey protein > Lactoferrin","Protein function > Immune modulation | Protein function > Supports gut health","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T022","CN115997937B","Milk-fat-globule-membrane-containing nutritional composition, use, and food","The invention provides a nutritional composition containing a milk-fat-globule-membrane component (MFGM) and a basic-protein component, with a basic-protein-to-MFGM mass ratio of at least 1:100. The source reports synergistic benefits for bone development, bone mineral density, and bone metabolism.","1. A nutritional composition comprising MFGM and colostrum basic protein (CBP) at a CBP:MFGM mass ratio of 1:100 to 1:10. _x000D_ 4. A nutritional or health food comprising, or prepared using, the composition of any of claims 1–3. _x000D_ 9. Non-therapeutic use of the composition of claims 1–3 or food of claims 4–8 to promote bone health.","Protein type > Whey protein > Milk basic protein | Protein type > Other milk proteins > Milk-fat-globule membrane protein | Protein function > Bone health","Protein type > Whey protein > Milk basic protein | Protein type > Other milk proteins > Milk-fat-globule membrane protein","Protein function > Bone health","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T023","CN117441900B","Functional nutritional composition and use thereof","The invention concerns a functional nutritional composition containing casein phosphopeptide and a Bifidobacterium probiotic at effective quantities of 50–380 mg and 1.00 × 10^9–1.20 × 10^11 CFU, respectively. Compared with either component alone, the source reports stronger immune enhancement and favorable antioxidant activity.","1. Use of a functional nutritional composition to prepare a composition that improves human immunity and/or antioxidant capacity, comprising casein phosphopeptide and Bifidobacterium longum subsp. longum BB536 at effective quantities of 120–380 mg and 1.00 × 10^9–1.20 × 10^11 CFU, respectively. _x000D_ 7. A further use of the functional nutritional composition to prepare a product having those effects [source excerpt ends here].","Protein type > Other milk proteins > Milk-derived peptide | Protein function > Immune modulation | Protein function > Antioxidant activity","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Immune modulation | Protein function > Antioxidant activity","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T024","CN113660867B","Nutritional composition exhibiting phase separation under gastric conditions and preparation method thereof","The invention concerns ready-to-use powdered infant or growing-up formula with selected gastric-digestion properties. The composition contains casein, whey protein containing alpha-lactalbumin and beta-lactoglobulin, and protein-coated fat droplets. Protein is 5–20 wt% of total solids, alpha-lactalbumin plus beta-lactoglobulin is at least 25 wt% of total protein, fat is 10–50 wt% of total solids, and the droplets carry 2–10 mg/m² protein, with a specified casein-to-whey-protein ratio on the droplets [source excerpt ends here].","1. A nutritional composition containing casein, whey protein containing alpha-lactalbumin and beta-lactoglobulin, and protein-coated fat droplets, wherein protein is 5–20 wt% of total solids, alpha-lactalbumin plus beta-lactoglobulin is at least 25 wt% of total protein, fat is 10–50 wt% of total solids, the droplets have an average protein load of 2–10 mg/m², and their casein:(alpha-lactalbumin + beta-lactoglobulin) ratio is at least four times the corresponding ratio in the overall composition. _x000D_ 22. A method according to claims 1–19 [source excerpt ends here].","Protein type > Whey protein > Alpha-lactalbumin | Protein type > Whey protein > Beta-lactoglobulin | Protein type > Casein | Protein function > Promotes digestion","Protein type > Whey protein > Alpha-lactalbumin | Protein type > Whey protein > Beta-lactoglobulin | Protein type > Casein","Protein function > Promotes digestion","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T026","EP4137511A4","New composition for use to treat and prevent infections by COVID-19 and other coronaviruses","Disclosed is a food-supplement composition for treating and preventing COVID-19 and other coronavirus infections. It includes liposome-encapsulated lactoferrin as an essential active ingredient and secondary active ingredients such as a zinc salt and vitamin C, also liposome-encapsulated [source excerpt ends here].","1. A composition for treating and preventing COVID-19 and other coronavirus infections, wherein the main active ingredient is liposomal lactoferrin. _x000D_ 8. Use of the composition of the preceding claims to treat and prevent such infections at the specified doses [source excerpt ends here].","Protein type > Whey protein > Lactoferrin | Protein function > Muscle development | Protein function > Treatment of respiratory disease","Protein type > Whey protein > Lactoferrin","Protein function > Muscle development | Protein function > Treatment of respiratory disease","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T027","CN117337994A","Functional composition and use thereof","The invention provides a composition containing osteopontin and one or more Bifidobacterium probiotics at an osteopontin-mass-to-probiotic-count ratio of 1 g:(8 × 10^9–3.33 × 10^12) CFU. Compared with either component alone, the source reports stronger immune enhancement, prevention and/or treatment of viral respiratory infection, and inhibition of inflammatory responses.","1. A composition comprising osteopontin and one or more Bifidobacterium probiotics at a ratio of 1 g osteopontin to (8 × 10^9–3.33 × 10^12) CFU. _x000D_ 4. Use of the composition of any of claims 1–3 to prepare a product that enhances immunity and/or inhibits inflammation. _x000D_ 7. Use to prepare a product for preventing and/or treating viral respiratory disease [source excerpt ends here].","Protein type > Whey protein > Osteopontin | Protein function > Immune modulation | Protein function > Treatment of respiratory disease","Protein type > Whey protein > Osteopontin","Protein function > Immune modulation | Protein function > Treatment of respiratory disease","","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
"T028","CN117304296A","Donkey-milk whey-protein peptides and preparation method thereof","The invention prepares antioxidant peptides from donkey-milk whey protein by heat denaturation, protease treatment with ultrasound-assisted hydrolysis, freeze-drying, grinding, and sieving. The source reports a high degree of hydrolysis, uniform off-white powder with acceptable flavor, favorable processing behavior, a clear aqueous solution without refrigerated precipitation, and antioxidant activity for food, additive, and health-product uses.","1. Donkey-milk whey-protein peptide powder obtained by heating a whey-protein solution at high temperature, adding protease, applying ultrasound-assisted hydrolysis, and freeze-drying. _x000D_ 2. A method comprising: (1) heat-denaturing the solution and adjusting pH; (2) adding protease, applying ultrasound, hydrolyzing at 40–55 °C for 4 h while adjusting pH hourly with 1 M HCl or NaOH, heat-inactivating for 10 min, centrifuging at 8,000–10,000 rpm for 10–15 min, and collecting supernatant; and (3) freeze-drying [source excerpt ends here].","Protein type > Other milk proteins > Milk-derived peptide | Separation method > Non-membrane physical separation | Separation method > Targeted enzymatic hydrolysis | Protein function > Antioxidant activity","Protein type > Other milk proteins > Milk-derived peptide","Protein function > Antioxidant activity","Separation method > Non-membrane physical separation | Separation method > Targeted enzymatic hydrolysis","milk_protein_labeling_testset/test_gold.csv","legacy_path_reference_only_do_not_override_v2_rules"
