test_id,public_no,title,abstract_excerpt,claims_excerpt,gold_labels,gold_protein_type,gold_protein_function,gold_separation_technology,source_dataset,example_authority
T012,CN117941742B,一种促进蛋白质吸收的营养组合物及其用途,本发明公开了一种促进蛋白质吸收的营养组合物及其用途，具体地，所述的营养组合物包括α‑乳清蛋白、β‑酪蛋白和镁盐，α‑乳清蛋白、β‑酪蛋白和镁盐中镁的质量比为（0.9‑9.2）：（1.1‑9.0）：（0.02‑0.08），α‑乳清蛋白占总蛋白含量的9%‑50%、β‑酪蛋白占总蛋白含量的10.5%‑60%。该营养组合物可促进蛋白质吸收、增加游离氨基酸吸收总量、促进氨基酸转运蛋白（SLC6A14）和寡肽转运蛋白（PEPT1）的表达。,1.一种营养组合物或包括该营养组合物的食品在制备促进蛋白质吸收的产品中的应用，所述的营养组合物包括α-乳清蛋白、β-酪蛋白和镁盐，α-乳清蛋白、β-酪蛋白和镁盐中镁的质量比为（2.2-6.5）：（2.2-6.4）：（0.02-0.08），α-乳清蛋白占总蛋白含量的21%-44%，β-酪蛋白占总蛋白含量的26%-56%，所述的促进蛋白质吸收包括增加游离氨基酸吸收总量；所述的镁盐为氯化镁。_x000D_ 2.一种营养组合物或包括该营养组合物的食品在制备促进氨基酸转运蛋白表达的产品中的应用，其中，所述的氨基酸转运蛋白包括SLC6A14，所述的营养组合物包括α-乳清蛋白、β-酪蛋白和镁盐，α-乳清蛋白、β-酪蛋白和镁盐中镁的质量比为（2.2,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 酪蛋白 > β-酪蛋白 | 蛋白功能 > 促进消化,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 酪蛋白 > β-酪蛋白,蛋白功能 > 促进消化,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T013,CN118320065A,改善肌肉衰减和促进成肌分化的组合物及其应用,本发明涉及功能性组合物技术领域，尤其涉及一种改善肌肉衰减和促进成肌分化的组合物及其应用。本发明延缓骨骼肌衰老的方法，通过采用一定浓度的乳铁蛋白与肌酸联合试剂，对由长期注射D‑半乳糖而构建的衰老型小鼠进行营养干预。结果表明，经过营养干预的小鼠的肌肉力量、肌肉质量、肌肉功能、瘦肉含量等指标对比模型组、乳铁蛋白组和肌酸组都有明显的改善效果。本发明提出了乳铁蛋白联合肌酸在延缓肌肉衰减症中的新用途，证明了乳铁蛋白与肌酸联合营养干预策略具有抑制骨骼肌衰老的发生及发展作用，可为临床疾病的预防提供新策略，在肌肉衰减症的防治及改善均具有良好的应用前景。,1.一种改善肌肉衰减和促进成肌分化的组合物，其特征在于，_x000D_ 所述组合物包括乳铁蛋白和肌酸，所述乳铁蛋白和肌酸的重量比为4:1-6:1，所述肌酸的用量为83mg/kg/day。_x000D_ 2.权利要求1所述的组合物在改善肌肉质量、肌肉力量以及肌肉功能的应用。_x000D_ 4.一种食品或保健食品或药物，包含权利要求1所述的组合物，在改善肌肉质量、肌肉力量以及肌肉功能的应用。_x000D_ 5.一种食品或保健食品或药物，包含权利要求1所述的组合物，在促进成肌分化的应用。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T014,CN118320064A,乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用,本发明涉及一种乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用。本发明通过采用一定浓度的乳铁蛋白试剂，对由长期注射D‑半乳糖而构建的衰老型小鼠进行营养干预。结果表明，经过营养干预的小鼠的肌肉力量、肌肉质量、肌肉功能、瘦肉含量等指标对比模型组都有明显的改善效果。说明本发明提出的乳铁蛋白营养干预策略对肌肉衰减症的防治及改善均具有重要意义。,1.一种乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用，其特征在于，所述应用为乳铁蛋白在改善肌肉质量、肌肉力量及肌肉功能方面的应用。_x000D_ 2.如权利要求1所述的一种乳铁蛋白在改善肌肉衰减和促进成肌分化中的应用，其特征在于：所述乳铁蛋白的用量为500mg/kg/day。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T015,CN118320066A,改善肌肉衰减和促进成肌分化的组合物及其应用,本发明涉及一种改善肌肉衰减和促进成肌分化的组合物及其应用。本发明通过采用一定浓度的乳铁蛋白和辅酶Q组合物，对由长期注射D‑半乳糖而构建的衰老型小鼠进行营养干预。结果表明，经过营养干预的小鼠的肌肉力量、肌肉质量、肌肉功能、瘦肉含量等指标对比模型组都有明显的改善效果。说明本发明提出的乳铁蛋白营养干预策略对肌肉衰减症的防治及改善均具有重要意义。,1.一种改善肌肉衰减和促进成肌分化的组合物，其特征在于，所述的组合物包括：乳铁蛋白和辅酶Q，所述乳铁蛋白和辅酶Q的质量比为50:1。_x000D_ 2.如权利要求1所述的改善肌肉衰减和促进成肌分化的组合物的应用，其特征在于：_x000D_ 所述应用为所述组合物在改善肌肉质量、肌肉力量及肌肉功能方面的应用。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 健骨 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 健骨 | 蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T016,CN118252256A,一种组合物及其应用、食品,本发明涉及食品技术领域，具体提供了一种组合物及其应用、食品。本发明的组合物由富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉组成；所述富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉的质量比为(1‑10)：1。与现有技术相比，本发明提供的质量比为(1‑10)：1富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉的组合物，对于促进肠道发育具有协同增效的作用能够显著提高肠道的绒毛高度和肠道绒毛隐窝比。,1.一种组合物，其特征在于，由富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉组成；所述富含乳脂肪球膜的乳清蛋白粉和富含酪蛋白糖巨肽的乳清蛋白粉的质量比为(1-10)：1。_x000D_ 6.如权利要求1～5任一项所述的组合物在制备促进肠道发育产品中的应用。_x000D_ 8.食品，其特征在于，包括如权利要求1～5任一项所述的组合物。,蛋白类型 > 酪蛋白 > 酪蛋白糖聚肽 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白 | 蛋白功能 > 促进肠道健康,蛋白类型 > 酪蛋白 > 酪蛋白糖聚肽 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白,蛋白功能 > 促进肠道健康,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T017,CN117796531B,一种增加肌肉围度的复合蛋白组合物及其制备方法,本发明提供了一种增加肌肉围度的复合蛋白组合物及其制备方法，涉及食品领域，该组合物包括浓缩乳清蛋白粉、分离乳清蛋白粉、水解乳清蛋白粉、牛初乳粉、α‑乳白蛋白、葡萄糖酸锌和碳酸镁。该发明的复合蛋白组合物组方简单、营养价值高、更易被人体吸收，对增强肌肉组织生长，肌肉纤维恢复的效果较优。,1.一种组合物，其特征在于：按重量份数计，由以下成分组成：60-90份浓缩乳清蛋白粉、2-15份分离乳清蛋白粉、0.2-5份水解乳清蛋白粉、0.2-2份牛初乳粉、0.2-2份α-乳白蛋白、0.04-0.2份葡萄糖酸锌和0.8-3份碳酸镁。_x000D_ 5.如权利要求1-4任一项所述的组合物的制备方法，其特征在于：包括以下步骤：将浓缩乳清蛋白粉、分离乳清蛋白粉、水解乳清蛋白粉、牛初乳粉、α-乳白蛋白、葡萄糖酸锌和碳酸镁混合即得。_x000D_ 6.一种组合物，其特征在于：按重量份数计，由以下成分组成：60-90份浓缩乳清蛋白粉、2-15份分离乳清蛋白粉、0.2-5份水解乳清蛋白粉、0.2-2份牛初乳粉、0.2-2份α-乳白蛋白、0.,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 其他乳蛋白 > 水解蛋白 | 蛋白功能 > 增肌,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 其他乳蛋白 > 水解蛋白,蛋白功能 > 增肌,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T018,CN117838834B,一种延缓认知功能衰退的组合物及其应用,本发明提供一种延缓认知功能衰退的组合物及其应用，所述组合物包括乳脂肪球膜糖蛋白、乳磷脂、乳肽、维生素B12和茶氨酸。该组合物能够从改善海马形态学结构、突触相关蛋白表达、血脑屏障、调节肠道菌群、抑制海马神经炎症等多个方面减缓认知功能衰退，进而延缓阿尔兹海默症等神经退行性疾病的发生。,1.一种辅助改善记忆的组合物，其特征在于，所述组合物包括乳脂肪球膜糖蛋白、乳磷脂、乳肽、维生素B12和茶氨酸；_x000D_ 所述组合物中，乳脂肪球膜糖蛋白、乳磷脂、乳肽、维生素B12和茶氨酸的质量比为150-250:80-120:150-250:18-22:4-6。_x000D_ 4.一种权利要求1-3任一项所述的组合物的应用，其特征在于，所述应用为以下的一种或两种：_x000D_ （1）在制备辅助改善记忆的产品中的应用；_x000D_ （2）在制备有助于调节肠道菌群的产品中的应用；_x000D_ 所述产品为保健品或药品。_x000D_ 5.一种权利要求1-3任一项所述的组合物的应用，其特征在于，所述应用为以下的一种或多种：_x0,蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白 | 蛋白类型 > 其他乳蛋白 > 乳肽 | 蛋白功能 > 促进肠道健康 | 蛋白功能 > 抗神经退行性,蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白 | 蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 促进肠道健康 | 蛋白功能 > 抗神经退行性,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T019,CN115500398B,富含β-酪蛋白配方乳制品及其制备方法,本发明公开了一种富含β‑酪蛋白配方乳制品及其制备方法，包括如下重量份的原料制得：生乳(以固形物计)0‑350份，脱盐乳清粉48‑500份，β‑酪蛋白10‑100份，乳糖0‑300份，结晶果糖0‑87份，低聚果糖0‑50份，稀奶油(以脂肪计)0‑100份，调和植物油21.6‑220份，浓缩乳清蛋白粉4.2‑40份，复配维生素0.36‑4份，复配矿物质0.24‑3份，钙盐0‑10份，磷酸盐0‑12份，钠盐0‑4份，钾盐0‑7份，单双甘油脂肪酸酯0‑1.5份，水0‑800份；且原料的总和为1000份。由于β‑酪蛋白在胃中形成凝块更软，β‑酪蛋白更容易消化，对儿童、孕妇、中老年人肠道弱人群也更有益。,1. 一种富含β-酪蛋白配方乳制品，其特征在于，所述富含β-酪蛋白配方乳制品为婴幼儿配方奶粉，包括如下重量份的原料制得：脱盐乳清粉200-500份，以固形物计的β-酪蛋白粉10-80份，乳糖100-300份，以脂肪计的稀奶油0-100份，调和植物油50-220份，浓缩乳清蛋白粉10-40份，复配维生素1-4份，复配矿物质1-3份，钙盐2-10份，磷酸盐2-12份，钠盐1-4份，钾盐1-7份，水 0-800份；且上述原料的总和为1000份；_x000D_ 所述β-酪蛋白按照如下步骤制备方法获得：_x000D_ （1）将原料乳通过陶瓷膜进行微滤，获得截留液I；_x000D_ 其中，所述微滤的条件为：陶瓷膜的孔径为50-100nm，处理温,蛋白类型 > 酪蛋白 > β-酪蛋白 | 蛋白功能 > 促进肠道健康 | 蛋白功能 > 促进消化,蛋白类型 > 酪蛋白 > β-酪蛋白,蛋白功能 > 促进肠道健康 | 蛋白功能 > 促进消化,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T020,CN117204502B,一种β-酪蛋白磷酸肽产品的制备方法及其应用,本发明涉及食品加工技术领域，尤其涉及一种β‑酪蛋白磷酸肽产品的制备方法及其应用。制备包括以下步骤：β‑酪蛋白原料加水溶解后进行酶解，将酶解液进行非特异性分离，将分离液进行富集，得到β‑酪蛋白磷酸肽产品。本发明的方法符合食品安全要求，成本较低且洗脱方便，效率高，适用于工业规模化生产。本发明制备得到的β‑酪蛋白磷酸肽产品中的β‑CPP含量更接近母乳，消化和吸收更亲和宝宝胃肠道，从而实现酪蛋白磷酸肽的母乳化，且研究表明，其有较好的促进钙、铁、锌、硒、锰等元素吸收的生理功能。本发明制备得到的β‑酪蛋白磷酸肽产品可以用于婴幼儿配方食品、婴幼儿辅助食品、调制乳及乳粉、奶酪、饮料及谷物类食品。,1.一种β-酪蛋白磷酸肽产品的制备方法，其特征在于，_x000D_ 至少包括以下步骤：_x000D_ S1、β-酪蛋白原料加水溶解后进行酶解，得到含有β-酪蛋白磷酸肽的酶解液，其中，将β-酪蛋白原料溶解后，先加入胃蛋白酶进行第一次酶解；再加入淀粉酶、脂肪酶、胰蛋白酶、糜蛋白酶和弹性蛋白酶进行第二次酶解；酶解后水浴加热灭酶；_x000D_ 所述第一次酶解的温度为35℃～39℃，时间为1～2小时；_x000D_ 所述第二次酶解的温度为40℃～55℃，时间为1～2小时，pH值为7.0～8.0；_x000D_ S2、将所述酶解液进行非特异性分离，得到分离液；_x000D_ S3、将所述分离液采用表面修饰的介孔不定型磷酸钙微球进行富集，得到β,蛋白类型 > 其他乳蛋白 > 乳肽 | 分离技术手段 > 定向酶解 | 分离技术手段 > 色谱 | 蛋白功能 > 促进消化,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 促进消化,分离技术手段 > 定向酶解 | 分离技术手段 > 色谱,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T021,CN117837638A,含牛初乳和乳铁蛋白的营养组合物、食品及用途,本发明涉及营养组合物，其由牛初乳和乳铁蛋白组成，其中相对于1质量份的牛初乳，乳铁蛋白为0.002‑5.0质量份。本发明还涉及包括所述营养组合物的食品。本发明还涉及牛初乳和/或乳铁蛋白在用于经由母婴传递改善高龄孕产妇喂养的后代的免疫力和肠道菌群并且同时改善高龄孕产妇的免疫力中的非治疗目的的用途。,1.一种营养组合物，其由如下组成：_x000D_ 牛初乳；和_x000D_ 乳铁蛋白，_x000D_ 其中相对于1质量份的牛初乳，乳铁蛋白为0.002-5.0质量份。_x000D_ 5.食品，其包括如权利要求1-4任一项所述的营养组合物。_x000D_ 9.牛初乳和/或乳铁蛋白在经由母婴传递改善高龄孕产妇喂养的后代的免疫力和肠道菌群并且同时改善高龄孕产妇的免疫力中的非治疗目的的用途。,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 免疫调节 | 蛋白功能 > 促进肠道健康,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 免疫调节 | 蛋白功能 > 促进肠道健康,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T022,CN115997937B,含有乳脂肪球膜的营养组合物、用途及食品,本发明提供了含有乳脂肪球膜的营养组合物、用途及食品，所述营养组合物中包括乳脂肪球膜组分(MFGM)和碱性蛋白组分，其中，以质量计，所述碱性蛋白与MFGM的含量比为1:100以上，该营养组合物具有对骨骼健康(骨骼发育、改善骨密度，调节骨代谢)协同增益的促进作用。,1.一种营养组合物，其特征在于，所述营养组合物中包括乳脂肪球膜MFGM和初乳碱性蛋白CBP；其中，以质量计，所述初乳碱性蛋白CBP与乳脂肪球膜MFGM的含量比为1:100～1:10。_x000D_ 4.一种食品，其为一种营养食品或保健食品，其特征在于，所述食品包括或使用了作为原料的权利要求1～3任一项所述的营养组合物。_x000D_ 9.权利要求1～3任一项所述的营养组合物或者权利要求4～8任一项所述的食品用于非治疗目的的促进骨骼健康的用途。,蛋白类型 > 乳清蛋白 > 牛乳碱性蛋白 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白 | 蛋白功能 > 健骨,蛋白类型 > 乳清蛋白 > 牛乳碱性蛋白 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白,蛋白功能 > 健骨,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T023,CN117441900B,功能性营养组合物及其用途,本发明涉及一种功能性营养组合物的用途，所述组合物包含如下两个必要组分：i）酪蛋白磷酸肽，和ii）双歧杆菌属益生菌；并且，在所述组合物中，所述i）酪蛋白磷酸肽与ii）双歧杆菌属益生菌的比例按照如下配置：酪蛋白磷酸肽有效量:双歧杆菌属益生菌有效量为（50mg～380mg）:（1.00×109CFU～1.20×1011CFU）。相比单独的酪蛋白磷酸肽或双歧杆菌属益生菌，本发明提供的组合物可以更加有效的增强免疫力，也可以具有较好的抗氧化作用。,1.一种功能性营养组合物在制备具有改善人体免疫力和/或提高人体抗氧化能力的功效的组合物中的用途，其特征在于，所述功能性营养组合物包括如下两个必要组分：_x000D_ i）酪蛋白磷酸肽，_x000D_ ii）双歧杆菌属益生菌；_x000D_ 并且，在所述功能性营养组合物中，所述i）酪蛋白磷酸肽与ii）双歧杆菌属益生菌的比例按照如下配置：_x000D_ 酪蛋白磷酸肽有效量：双歧杆菌属益生菌有效量为（120mg～380mg）:（1.00×109CFU～1.20×1011CFU），_x000D_ 其中，所述双歧杆菌属益生菌为长双歧杆菌长亚种BB536。_x000D_ 7.一种功能性营养组合物在制备具有改善人体免疫力和/或提高人体抗氧化能力的,蛋白类型 > 其他乳蛋白 > 乳肽 | 蛋白功能 > 免疫调节 | 蛋白功能 > 抗氧化,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 免疫调节 | 蛋白功能 > 抗氧化,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T024,CN113660867B,在胃条件下显示相分离的营养组合物及其制备方法,本发明涉及营养组合物、提供它们的方法及其用途的领域。更具体地，本发明涉及显示出希望的胃消化特性的即食型粉末状婴儿配方乳或即食型粉末状成长配方乳。提供了一种营养组合物，该营养组合物包含酪蛋白、含有α‑乳白蛋白(aLAc)和β‑乳球蛋白(bLac)的乳清蛋白、以及蛋白质包覆的脂肪滴，其中(i)该组合物的蛋白质含量基于总固体为5％至20％(w/w)，优选为7w％‑16w％；(ii)aLac+bLac含量基于总蛋白质水平为至少25％(w/w)；(iii)脂肪含量基于总固体在10％至50％(w/w)的范围内；以及(iv)这些脂肪滴被以2‑10mg/m2的平均蛋白质负荷包被，并且其中在这些脂肪滴上酪蛋白:(aLac+bLac)的重量比率是总组合,1.一种营养组合物，该营养组合物包含酪蛋白、含有α-乳白蛋白(aLac)和β-乳球蛋白(bLac)的乳清蛋白、以及蛋白质包覆的脂肪滴，其中_x000D_ (i)该组合物的蛋白质含量基于总固体为5％至20％(w/w)；_x000D_ (ii)aLac+bLac含量基于总蛋白质水平为至少25％(w/w)；_x000D_ (iii)脂肪含量基于总固体在10％至50％(w/w)的范围内；以及_x000D_ (iv)这些脂肪滴被以2-10mg/m2的平均蛋白质负荷包覆，并且其中在这些脂肪滴上酪蛋白:(aLac+bLac)的重量比率是总组合物中酪蛋白:(aLac+bLac)的重量比率的至少4倍。_x000D_ 22.一种提供根据权利要求1-19,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 乳清蛋白 > β-乳球蛋白 | 蛋白类型 > 酪蛋白 | 蛋白功能 > 促进消化,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 乳清蛋白 > β-乳球蛋白 | 蛋白类型 > 酪蛋白,蛋白功能 > 促进消化,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T026,EP4137511A4,New composition for use to treat and prevent infections by covid-19 and other coronaviruses,"Disclosed is a novel composition for use to treat and prevent infections by COVID-19 and other coronaviruses, which consists of a food supplement that includes liposome-encapsulated lactoferrin as an essential active ingredient, and other secondary active ingredients, such as a zinc salt and vitamin C, also liposome-en","1.  A composition for use to treat and prevent infections by COVID-19 and other coronaviruses, characterised in that the main active ingredient is liposomal lactoferrin._x000D_ 8.  A use of the composition of the preceding claims to treat and prevent infections by COVID-19 and other coronaviruses at the following doses",蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 增肌 | 蛋白功能 > 治疗呼吸系统疾病,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 增肌 | 蛋白功能 > 治疗呼吸系统疾病,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T027,CN117337994A,功能性组合物及该组合物的应用,本发明涉及功能性组合物及该组合物的应用，所述组合物包含如下(i)所示的蛋白组分和(ii)所示的益生菌组分两个必要组分：所述蛋白组分(i)，包括骨桥蛋白；所述益生菌组分(ii)，包括双歧杆菌属益生菌中的一种或多种；并且，在所述组合物中，所述蛋白组分(i)中所述骨桥蛋白的质量与所述益生菌组分(ii)中所述双歧杆菌属益生菌的数量的比值为1g：(8×109～3.33×1012)CFU。相比单独的骨桥蛋白或双歧杆菌属益生菌，本发明提供的组合物可以更加有效的增强免疫力，及预防和/或治疗病毒感染性呼吸道疾病，也可以更加有效抑制炎症反应。,1.一种组合物，其特征在于，所述组合物包含如下两个必要组分：(i)所示的蛋白组分和(ii)所示的益生菌组分：_x000D_ 所述蛋白组分(i)，包括骨桥蛋白；_x000D_ 所述益生菌组分(ii)，包括双歧杆菌属益生菌中的一种或多种；_x000D_ 并且，在所述组合物中，所述蛋白组分(i)中所述骨桥蛋白的质量与所述益生菌组分(ii)中所述双歧杆菌属益生菌的数量的比值为1g：(8×109～3.33×1012)CFU。_x000D_ 4.根据权利要求1～3任一项所述的组合物在制备有助于增强免疫力和/或具有抑制炎症反应的能力的产品中的用途。_x000D_ 7.根据权利要求1～3任一项所述的组合物在制备用于预防和/或治疗病毒感染性呼吸道疾病,蛋白类型 > 乳清蛋白 > 骨桥蛋白 | 蛋白功能 > 免疫调节 | 蛋白功能 > 治疗呼吸系统疾病,蛋白类型 > 乳清蛋白 > 骨桥蛋白,蛋白功能 > 免疫调节 | 蛋白功能 > 治疗呼吸系统疾病,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T028,CN117304296A,一种驴乳乳清蛋白肽及其制备方法,本发明提供了一种驴乳乳清蛋白肽及其制备方法，涉及酶解肽技术领域。本发明所述乳清蛋白抗氧化肽是以驴乳乳清蛋白为原料，通过蛋白酶酶解后冷冻干燥得到肽粉。所涉及的操作方法如下：将驴乳乳清蛋白水浴加热变性，添加一定量的蛋白酶并超声辅助酶解；冷冻干燥酶解液；研磨过筛得到乳清蛋白肽粉。本发明方法的产物水解度高，得到的肽粉呈乳白色粉末状，味道好，质地均匀，不仅其加工性能优异，配成的水溶液澄清透明，冷藏也不会形成沉淀，而且具有良好的抗氧化活性，能广泛的应用于食品、食品添加剂、保健品等领域。,1.一种驴乳乳清蛋白肽，其特征在于，将驴乳乳清蛋白溶液高温水浴加热后，添加蛋白酶并超声辅助酶解，冷冻干燥后得到驴乳乳清蛋白肽粉。_x000D_ 2.权利要求1所述的驴乳乳清蛋白肽的制备方法，其特征在于，包括如下步骤：_x000D_ 1)热变性处理：将驴乳乳清蛋白溶液置于水浴锅加热至其变性，变性后调节溶液pH；_x000D_ 2)酶解：向步骤1)得到的溶液中加入蛋白酶溶液并对其超声处理，然后在40℃～55℃水浴锅中恒温进行酶解4h，并每隔1h用1M HCl或NaOH溶液维持酶解液的pH，酶解结束后沸水浴灭酶10min，在8000rpm～10000rpm的转速下离心10min～15min，取上清液；_x000D_ 3)冷冻干燥：将步骤2,蛋白类型 > 其他乳蛋白 > 乳肽 | 分离技术手段 > 除膜分离外的物理分离 | 分离技术手段 > 定向酶解 | 蛋白功能 > 抗氧化,蛋白类型 > 其他乳蛋白 > 乳肽,蛋白功能 > 抗氧化,分离技术手段 > 除膜分离外的物理分离 | 分离技术手段 > 定向酶解,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T029,CN117137008A,孕妇及乳母营养补充组合物及其制备方法,本发明涉及一种孕妇及乳母营养补充组合物及其制备方法，制成所述孕妇及乳母营养补充组合物的原料以重量份数计，包括：乳蛋白组分2510～3860份；膳食纤维组分50～100份；油脂组分20～30份；以及维生素和矿物质，其中，所述乳蛋白组分包括生牛乳组分、乳清蛋白添加组分以及脱脂乳组分；所述乳清蛋白添加组分中，包括α‑乳清蛋白、乳脂球膜蛋白以及骨桥蛋白，所述乳清蛋白添加组分中，α‑乳清蛋白的含量为0.5～10质量％；所述脱脂乳组分中的脂肪含量为2质量％以下，所述油脂组分中的油酸含量为70质量％以上，所述膳食纤维组分中的抗性糊精含量为90质量％以上。,1.一种孕妇及乳母营养补充组合物，其特征在于，制成所述孕妇及乳母营养补充组合物的原料以重量份数计，包括：_x000D_ 乳蛋白组分2510～3860份_x000D_ 膳食纤维组分50～100份_x000D_ 油脂组分20～30份_x000D_ 以及维生素和矿物质，_x000D_ 其中，所述乳蛋白组分包括生牛乳组分、乳清蛋白添加组分以及脱脂乳组分；_x000D_ 所述乳清蛋白添加组分中，包括α-乳白蛋白和乳脂球膜蛋白；_x000D_ 所述脱脂乳组分中的脂肪含量为2质量％以下；_x000D_ 所述油脂组分中的油酸含量为70质量％以上；_x000D_ 所述膳食纤维组分中的抗性糊精含量为90质量％以上。_x000D_ 7.根据权利要求1～6,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 乳清蛋白 > 骨桥蛋白 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白 | 蛋白功能 > 降糖,蛋白类型 > 乳清蛋白 > α-乳白蛋白 | 蛋白类型 > 乳清蛋白 > 骨桥蛋白 | 蛋白类型 > 其他乳蛋白 > 脂肪球膜蛋白,蛋白功能 > 降糖,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
T030,CN117016792A,一种具有补铁和抑菌功效的胶冻及其制备方法,本发明提供了一种具有补铁和抑菌功效的胶冻及其制备方法。制备的主要步骤为：1)乳铁蛋白‑百里酚复合物的制备；2)果冻液的制备；3)果冻制备。本发明具有补铁、抑菌、提高人体免疫力及抗氧化活性等功效，利用现代化食品的制作手段，不但具备食用卫生方便，香甜可口，而且具有保健养身之功效。,1.一种具有补铁和抑菌功效的胶冻，其特征在于：_x000D_ (1)果冻的制备原料配方以质量百分比记，包括魔芋胶0.3～0.5％、果胶0.3～0.5％、黄原胶0.3～0.5％、卡拉胶0.3～0.5％、琼脂0.3～0.5％、乳铁蛋白0.04～0.1％、百里香酚0.005～0.01％、碳酸亚铁0.005～0.01％、三氯蔗糖5～20％、柠檬酸0.1～0.5％、食用色素0.05～0.15％，余量是水；_x000D_ (2)乳铁蛋白和百里酚溶液中的乙醇浓度不超过0.5％，确保乙醇含量不超标；_x000D_ (3)调配乳铁蛋白温度控制在30～45℃，以保证乳铁蛋白充分的活性；_x000D_ (4)添加碳酸亚铁作为乳铁蛋白的铁离子补充剂，以达到,蛋白类型 > 乳清蛋白 > 乳铁蛋白 | 蛋白功能 > 免疫调节 | 蛋白功能 > 抗菌抗病毒 | 蛋白功能 > 抗氧化 | 蛋白功能 > 治疗贫血,蛋白类型 > 乳清蛋白 > 乳铁蛋白,蛋白功能 > 免疫调节 | 蛋白功能 > 抗菌抗病毒 | 蛋白功能 > 抗氧化 | 蛋白功能 > 治疗贫血,,milk_protein_labeling_testset/test_gold.csv,legacy_path_reference_only_do_not_override_v2_rules
