label_id,dimension,label_name,label_path,parent_label_id,definition,include_when,exclude_when,synonyms,confusable_labels,positive_example,negative_example,status,taxonomy_version,source_frequency,learning_source,definition_status,dirty_observation,output_eligible
MP-3D53F9B641,分离技术手段,微滤,分离技术手段 > 膜分离 > 微滤,MP-ABE2BC580C,将微滤作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,CN114502582A: 包含分泌型IgA和益生菌的组合物,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,5,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-34443C6B9F,分离技术手段,过滤，超滤或反渗透,分离技术手段 > 膜分离 > 过滤，超滤或反渗透,MP-ABE2BC580C,将过滤，超滤或反渗透作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,CN119241680A: ACE抑制肽VR8、其应用及制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,13,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-8EDF569F30,分离技术手段,亲和色谱、选择性吸附,分离技术手段 > 色谱 > 亲和色谱、选择性吸附,MP-CC067A2D20,将亲和色谱、选择性吸附作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,1,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-26C9BED299,分离技术手段,离子交换,分离技术手段 > 色谱 > 离子交换,MP-CC067A2D20,将离子交换作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,AU2021269327A1: A method for producing a lactoferrin powder and uses thereof,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,23,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-DC4F686318,分离技术手段,离心分离,分离技术手段 > 除膜分离外的物理分离 > 离心分离,MP-CF121C2C0F,将离心分离作为目标乳蛋白制备、提取、分离、纯化或浓缩过程中的关键技术路线。,该手段构成目标组分制备、分离、纯化、浓缩或定向获得的关键路线。,仅为常规辅助、后处理、可选步骤或背景工艺时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,1,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-DF25EC4132,蛋白功能,蛋白功能,蛋白功能,,乳蛋白深加工标引中的蛋白功能维度。,记录需要在蛋白功能维度进行标引。,不得把该维度名称单独作为叶级标引结果。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,2,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,standalone_path_seen_2_times_do_not_output_as_leaf,false
MP-B5CC7A4453,蛋白功能,促进消化,蛋白功能 > 促进消化,MP-DF25EC4132,以促进消化作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,蛋白功能 > 健骨|蛋白功能 > 促进肠道健康,CN117941742B: 一种促进蛋白质吸收的营养组合物及其用途,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,10,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-B375FB87F2,蛋白功能,促进肠道健康,蛋白功能 > 促进肠道健康,MP-DF25EC4132,以促进肠道健康作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN118766091A: 一种营养组合物在提高肠道内短链脂肪酸含量中的应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,38,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-9EACC939A7,蛋白功能,促进脑发育,蛋白功能 > 促进脑发育,MP-DF25EC4132,以促进脑发育作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN118556870B: 一种营养组合物及其在改善大脑、神经和认知发育中的应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,8,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-ACD518C5B7,蛋白功能,保护牙齿,蛋白功能 > 保护牙齿,MP-DF25EC4132,以保护牙齿作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,11,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-B8A78A03ED,蛋白功能,健骨,蛋白功能 > 健骨,MP-DF25EC4132,以健骨作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,蛋白功能 > 促进消化|蛋白功能 > 增肌,CN119453323A: 一种促进骨骼肌发育的小儿配方食品,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,29,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-C1182358CB,蛋白功能,免疫调节,蛋白功能 > 免疫调节,MP-DF25EC4132,以免疫调节作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,蛋白功能 > 抗菌抗病毒|蛋白功能 > 抗炎|蛋白功能 > 治疗呼吸系统疾病,CN118787031A: 一种含乳铁蛋白的营养组合物、生产工艺及其应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,39,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-545CE99184,蛋白功能,增肌,蛋白功能 > 增肌,MP-DF25EC4132,以增肌作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN119453323A: 一种促进骨骼肌发育的小儿配方食品,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,7,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-D5791F7F0C,蛋白功能,抗氧化,蛋白功能 > 抗氧化,MP-DF25EC4132,以抗氧化作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN118754970A: 一种载锌乳铁蛋白制备方法、载锌乳铁蛋白和应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,3,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-653E4161FF,蛋白功能,抗炎,蛋白功能 > 抗炎,MP-DF25EC4132,以抗炎作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN118766962A: 绵羊初乳来源的细胞外囊泡在制备促进伤口愈合的产品中的应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,12,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-B99824CAEE,蛋白功能,抗癌,蛋白功能 > 抗癌,MP-DF25EC4132,以抗癌作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,MX349966B: Use of sodium caseinate as antineoplastic agent.,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,27,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-1931D9D231,蛋白功能,抗神经退行性,蛋白功能 > 抗神经退行性,MP-DF25EC4132,以抗神经退行性作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN118556870B: 一种营养组合物及其在改善大脑、神经和认知发育中的应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,3,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-781498B833,蛋白功能,抗菌抗病毒,蛋白功能 > 抗菌抗病毒,MP-DF25EC4132,以抗菌抗病毒作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,蛋白功能 > 免疫调节|蛋白功能 > 抗炎,CN118787031A: 一种含乳铁蛋白的营养组合物、生产工艺及其应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,30,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-CF91532A42,蛋白功能,控制体重,蛋白功能 > 控制体重,MP-DF25EC4132,以控制体重作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN112890200B: 用于促进低体重婴幼儿生长追赶的一种营养组合物,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,8,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-CA81AEBD3A,蛋白功能,改善睡眠,蛋白功能 > 改善睡眠,MP-DF25EC4132,以改善睡眠作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,"KR102750114B1: 유청 단백 가수분해물을 포함하는 수면장애의 예방, 개선 또는 치료용 조성물",见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,1,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-1F98C1B1A8,蛋白功能,治疗呼吸系统疾病,蛋白功能 > 治疗呼吸系统疾病,MP-DF25EC4132,以治疗呼吸系统疾病作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,EP4137511A4: New composition for use to treat and prevent infections by covid-19 and other coronaviruses,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,3,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-56B4284A40,蛋白功能,治疗感觉疾病,蛋白功能 > 治疗感觉疾病,MP-DF25EC4132,以治疗感觉疾病作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,JP6941445B2: 平衡感覚改善剤,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,5,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-60BC446ABF,蛋白功能,治疗泌尿系统疾病,蛋白功能 > 治疗泌尿系统疾病,MP-DF25EC4132,以治疗泌尿系统疾病作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,US20190134096A1: Hyperimmune colostrum in the modulation and treatment of conditions associated with the mammalian microbiome,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,1,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-51013C8536,蛋白功能,治疗皮肤疾病,蛋白功能 > 治疗皮肤疾病,MP-DF25EC4132,以治疗皮肤疾病作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN118766962A: 绵羊初乳来源的细胞外囊泡在制备促进伤口愈合的产品中的应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,9,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-7B8966810A,蛋白功能,治疗贫血,蛋白功能 > 治疗贫血,MP-DF25EC4132,以治疗贫血作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN117016792A: 一种具有补铁和抑菌功效的胶冻及其制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,8,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-5F63122309,蛋白功能,镇静止痛,蛋白功能 > 镇静止痛,MP-DF25EC4132,以镇静止痛作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN116584653A: 组合物在预防或缓解婴幼儿肠绞痛中的应用,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,2,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-E31655A047,蛋白功能,降压,蛋白功能 > 降压,MP-DF25EC4132,以降压作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN119241680A: ACE抑制肽VR8、其应用及制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,5,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-84ACD09679,蛋白功能,降糖,蛋白功能 > 降糖,MP-DF25EC4132,以降糖作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN111801109B: 能够改善认知功能的肽,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,11,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-4958246546,蛋白功能,降脂,蛋白功能 > 降脂,MP-DF25EC4132,以降脂作为权利要求用途、摘要主旨或实验支持的主要功能或效果。,该功能是权利要求用途、标题或摘要主旨、技术效果或实验结论支持的主要效果。,仅在背景、扩展用途或作用机制中出现且非主要效果时不标。,,,CN115038454A: 包含牛乳外泌体的用于诱导棕色脂肪化的组合物,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,11,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-6EAC4AC735,蛋白类型,蛋白类型,蛋白类型,,乳蛋白深加工标引中的蛋白类型维度。,记录需要在蛋白类型维度进行标引。,不得把该维度名称单独作为叶级标引结果。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,0,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,false
MP-015BB1E97D,蛋白类型,乳清蛋白,蛋白类型 > 乳清蛋白,MP-6EAC4AC735,以乳清蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN116490081A: 用于改善胃肠耐受性的天然乳清蛋白组合物,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,5,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-20D2D0B869,蛋白类型,其他乳蛋白,蛋白类型 > 其他乳蛋白,MP-6EAC4AC735,以其他乳蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,0,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-40CBB54771,蛋白类型,酪蛋白,蛋白类型 > 酪蛋白,MP-6EAC4AC735,以酪蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN113660867B: 在胃条件下显示相分离的营养组合物及其制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,1,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-6C70B7E407,蛋白类型,WPC80,蛋白类型 > 乳清蛋白 > WPC80,MP-015BB1E97D,以WPC80作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN115517368A: 一种用于运动后机能恢复的乳清蛋白粉及其制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,2,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-7B71A213CA,蛋白类型,α-乳白蛋白,蛋白类型 > 乳清蛋白 > α-乳白蛋白,MP-015BB1E97D,以α-乳白蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN117941742B: 一种促进蛋白质吸收的营养组合物及其用途,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,13,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-130D511DCC,蛋白类型,β-乳球蛋白,蛋白类型 > 乳清蛋白 > β-乳球蛋白,MP-015BB1E97D,以β-乳球蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN113660867B: 在胃条件下显示相分离的营养组合物及其制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,4,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-44958F5E65,蛋白类型,乳过氧化物酶,蛋白类型 > 乳清蛋白 > 乳过氧化物酶,MP-015BB1E97D,以乳过氧化物酶作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,US10376543B2: Fermented milk product and method for producing the same,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,4,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-7EC1100C3D,蛋白类型,乳铁蛋白,蛋白类型 > 乳清蛋白 > 乳铁蛋白,MP-015BB1E97D,以乳铁蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN119453323A: 一种促进骨骼肌发育的小儿配方食品,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,81,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-9D6D44DD58,蛋白类型,免疫球蛋白,蛋白类型 > 乳清蛋白 > 免疫球蛋白,MP-015BB1E97D,以免疫球蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN114794491A: 一种改善脑功能的组合物及其制备方法,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,12,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-F813EC3CD8,蛋白类型,溶菌酶,蛋白类型 > 乳清蛋白 > 溶菌酶,MP-015BB1E97D,以溶菌酶作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,1,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-CA319DFFEA,蛋白类型,牛乳碱性蛋白,蛋白类型 > 乳清蛋白 > 牛乳碱性蛋白,MP-015BB1E97D,以牛乳碱性蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,CN115997937B: 含有乳脂肪球膜的营养组合物、用途及食品,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,6,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-10F5CCC044,蛋白类型,生长因子,蛋白类型 > 乳清蛋白 > 生长因子,MP-015BB1E97D,以生长因子作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,US10376543B2: Fermented milk product and method for producing the same,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,12,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
MP-933FB9631E,蛋白类型,血清白蛋白,蛋白类型 > 乳清蛋白 > 血清白蛋白,MP-015BB1E97D,以血清白蛋白作为核心有效成分、制备对象、加工对象或权利要求限定组分的乳蛋白技术。,该乳源蛋白是核心有效成分、制备对象、加工对象或权利要求限定组分。,仅为可选组分、背景物质、非乳源成分或生理指标时不标。,,,由领域规则和金标准样本补充,见领域边界规则与相邻标签样本,formal,milk-protein-customer-v2,2,20260525085204594-2.xlsx,user_confirmed_v2_starting_definition,,true
